06-12-23 13:58:27 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:58:41 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:58:54 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:59:07 - Voltage 1.2 - INFO   Current = 0.3994
06-12-23 13:59:20 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:59:33 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:59:46 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:00:00 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:00:13 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:00:26 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:00:39 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 14:00:52 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:01:06 - Voltage 1.2 - INFO   Current = 0.3982
06-12-23 14:01:19 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 14:01:32 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:01:45 - Voltage 1.2 - INFO   Current = 0.3982
06-12-23 14:01:58 - Voltage 1.2 - INFO   Current = 0.3982
06-12-23 14:02:12 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:02:25 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:02:38 - Voltage 1.2 - INFO   Current = 0.3982
06-12-23 14:02:51 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:03:04 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:03:18 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:03:31 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:03:44 - Voltage 1.2 - INFO   Current = 0.3982
06-12-23 14:03:57 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:04:10 - Voltage 1.2 - INFO   Current = 0.3994
06-12-23 14:04:24 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:04:37 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:04:50 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:05:03 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:05:16 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:05:30 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:05:43 - Voltage 1.2 - INFO   Current = 0.3982
06-12-23 14:05:56 - Voltage 1.2 - INFO   Current = 0.4000
06-12-23 14:06:09 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:06:22 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:06:36 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:06:49 - Voltage 1.2 - INFO   Current = 0.3982
06-12-23 14:07:02 - Voltage 1.2 - INFO   Current = 0.3991
06-12-23 14:07:15 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:07:28 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 14:07:41 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:07:55 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:08:08 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 14:08:21 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:08:34 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 14:08:48 - Voltage 1.2 - INFO   Current = 0.3982
06-12-23 14:09:01 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:09:14 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:09:27 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 14:09:40 - Voltage 1.2 - INFO   Current = 0.3999
06-12-23 14:09:53 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:10:07 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:10:20 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 14:10:33 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:10:46 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:10:59 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:11:13 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:11:26 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:11:39 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:11:52 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:12:05 - Voltage 1.2 - INFO   Current = 0.3994
06-12-23 14:12:19 - Voltage 1.2 - INFO   Current = 0.3982
06-12-23 14:12:32 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:12:45 - Voltage 1.2 - INFO   Current = 0.3992
